Channel,Parameter,Capacity_Mean,Capacity_Std,95%_CI,N_Runs
C3,,2.171,0.064,"[2.074, 2.265]",10
C1,1024.0,1.400,0.037,"[1.350, 1.450]",10
C3,,1.924,0.060,"[1.833, 1.996]",10
C4,,1.496,0.040,"[1.437, 1.558]",10
C3,,1.650,0.044,"[1.587, 1.712]",10
C2,,1.913,0.056,"[1.855, 2.013]",10
C2,,2.002,0.050,"[1.926, 2.081]",10
C4,,1.992,0.067,"[1.895, 2.073]",10
C3,,2.126,0.057,"[2.029, 2.190]",10
C3,,1.636,0.030,"[1.587, 1.683]",10
C2,,1.894,0.059,"[1.833, 2.001]",10
C4,,1.794,0.100,"[1.616, 1.926]",10
C2,,2.022,0.041,"[1.967, 2.096]",10
C1,64.0,2.290,0.053,"[2.237, 2.388]",10
C4,,1.756,0.087,"[1.593, 1.860]",10
C2,,1.915,0.029,"[1.882, 1.967]",10
C1,128.0,2.182,0.056,"[2.097, 2.277]",10
C1,256.0,2.015,0.048,"[1.938, 2.089]",10
C1,512.0,1.691,0.043,"[1.627, 1.766]",10
C4,,1.993,0.059,"[1.913, 2.080]",10
